# PRIMO
# version: 0.3.1.1772
# Project ID: Kalibracja5
#
# Calculated curve
# x(cm)  y(cm)  z(cm)  Dose[eV/g]
#------------------------------------------------
   0.00E+000     0.00E+000     1.02E+001    3.7547E-001
   0.00E+000     0.00E+000     1.03E+001    3.7115E-001
   0.00E+000     0.00E+000     1.04E+001    3.6682E-001
   0.00E+000     0.00E+000     1.05E+001    3.6508E-001
   0.00E+000     0.00E+000     1.06E+001    3.6333E-001
   0.00E+000     0.00E+000     1.07E+001    3.6171E-001
   0.00E+000     0.00E+000     1.08E+001    3.6010E-001
   0.00E+000     0.00E+000     1.09E+001    3.5743E-001
   0.00E+000     0.00E+000     1.10E+001    3.5475E-001
   0.00E+000     0.00E+000     1.11E+001    3.5341E-001
   0.00E+000     0.00E+000     1.12E+001    3.5207E-001
   0.00E+000     0.00E+000     1.13E+001    3.5060E-001
   0.00E+000     0.00E+000     1.14E+001    3.4914E-001
   0.00E+000     0.00E+000     1.15E+001    3.4674E-001
   0.00E+000     0.00E+000     1.16E+001    3.4435E-001
   0.00E+000     0.00E+000     1.17E+001    3.4214E-001
   0.00E+000     0.00E+000     1.18E+001    3.3994E-001
   0.00E+000     0.00E+000     1.19E+001    3.3794E-001
   0.00E+000     0.00E+000     1.20E+001    3.3593E-001
   0.00E+000     0.00E+000     1.21E+001    3.3375E-001
   0.00E+000     0.00E+000     1.22E+001    3.3157E-001
   0.00E+000     0.00E+000     1.23E+001    3.2915E-001
   0.00E+000     0.00E+000     1.24E+001    3.2673E-001
   0.00E+000     0.00E+000     1.25E+001    3.2583E-001
   0.00E+000     0.00E+000     1.26E+001    3.2492E-001
   0.00E+000     0.00E+000     1.27E+001    3.2206E-001
   0.00E+000     0.00E+000     1.28E+001    3.1920E-001
   0.00E+000     0.00E+000     1.29E+001    3.1636E-001
   0.00E+000     0.00E+000     1.30E+001    3.1351E-001
   0.00E+000     0.00E+000     1.31E+001    3.1221E-001
   0.00E+000     0.00E+000     1.32E+001    3.1091E-001
   0.00E+000     0.00E+000     1.33E+001    3.0823E-001
   0.00E+000     0.00E+000     1.34E+001    3.0555E-001
   0.00E+000     0.00E+000     1.35E+001    3.0371E-001
   0.00E+000     0.00E+000     1.36E+001    3.0187E-001
   0.00E+000     0.00E+000     1.37E+001    3.0084E-001
   0.00E+000     0.00E+000     1.38E+001    2.9981E-001
   0.00E+000     0.00E+000     1.39E+001    2.9783E-001
   0.00E+000     0.00E+000     1.40E+001    2.9585E-001
   0.00E+000     0.00E+000     1.41E+001    2.9423E-001
   0.00E+000     0.00E+000     1.42E+001    2.9262E-001
   0.00E+000     0.00E+000     1.43E+001    2.9073E-001
   0.00E+000     0.00E+000     1.44E+001    2.8885E-001
   0.00E+000     0.00E+000     1.45E+001    2.8688E-001
   0.00E+000     0.00E+000     1.46E+001    2.8492E-001
   0.00E+000     0.00E+000     1.47E+001    2.8353E-001
   0.00E+000     0.00E+000     1.48E+001    2.8214E-001
   0.00E+000     0.00E+000     1.49E+001    2.7986E-001
   0.00E+000     0.00E+000     1.50E+001    2.7758E-001
   0.00E+000     0.00E+000     1.51E+001    2.7594E-001
   0.00E+000     0.00E+000     1.52E+001    2.7431E-001
   0.00E+000     0.00E+000     1.53E+001    2.7329E-001
   0.00E+000     0.00E+000     1.54E+001    2.7227E-001
   0.00E+000     0.00E+000     1.55E+001    2.6988E-001
   0.00E+000     0.00E+000     1.56E+001    2.6749E-001
   0.00E+000     0.00E+000     1.57E+001    2.6625E-001
   0.00E+000     0.00E+000     1.58E+001    2.6500E-001
   0.00E+000     0.00E+000     1.59E+001    2.6308E-001
   0.00E+000     0.00E+000     1.60E+001    2.6116E-001
   0.00E+000     0.00E+000     1.61E+001    2.6040E-001
   0.00E+000     0.00E+000     1.62E+001    2.5965E-001
   0.00E+000     0.00E+000     1.63E+001    2.5726E-001
   0.00E+000     0.00E+000     1.64E+001    2.5488E-001
   0.00E+000     0.00E+000     1.65E+001    2.5400E-001
   0.00E+000     0.00E+000     1.66E+001    2.5312E-001
   0.00E+000     0.00E+000     1.67E+001    2.5119E-001
   0.00E+000     0.00E+000     1.68E+001    2.4925E-001
   0.00E+000     0.00E+000     1.69E+001    2.4803E-001
   0.00E+000     0.00E+000     1.70E+001    2.4682E-001
   0.00E+000     0.00E+000     1.71E+001    2.4538E-001
   0.00E+000     0.00E+000     1.72E+001    2.4394E-001
   0.00E+000     0.00E+000     1.73E+001    2.4266E-001
   0.00E+000     0.00E+000     1.74E+001    2.4138E-001
   0.00E+000     0.00E+000     1.75E+001    2.4001E-001
   0.00E+000     0.00E+000     1.76E+001    2.3864E-001
   0.00E+000     0.00E+000     1.77E+001    2.3646E-001
   0.00E+000     0.00E+000     1.78E+001    2.3427E-001
   0.00E+000     0.00E+000     1.79E+001    2.3297E-001
   0.00E+000     0.00E+000     1.80E+001    2.3167E-001
   0.00E+000     0.00E+000     1.81E+001    2.3033E-001
   0.00E+000     0.00E+000     1.82E+001    2.2898E-001
   0.00E+000     0.00E+000     1.83E+001    2.2775E-001
   0.00E+000     0.00E+000     1.84E+001    2.2651E-001
   0.00E+000     0.00E+000     1.85E+001    2.2500E-001
   0.00E+000     0.00E+000     1.86E+001    2.2350E-001
   0.00E+000     0.00E+000     1.87E+001    2.2197E-001
   0.00E+000     0.00E+000     1.88E+001    2.2043E-001
   0.00E+000     0.00E+000     1.89E+001    2.1883E-001
   0.00E+000     0.00E+000     1.90E+001    2.1723E-001
   0.00E+000     0.00E+000     1.91E+001    2.1610E-001
   0.00E+000     0.00E+000     1.92E+001    2.1496E-001
   0.00E+000     0.00E+000     1.93E+001    2.1412E-001
   0.00E+000     0.00E+000     1.94E+001    2.1328E-001
   0.00E+000     0.00E+000     1.95E+001    2.1214E-001
   0.00E+000     0.00E+000     1.96E+001    2.1101E-001
   0.00E+000     0.00E+000     1.97E+001    2.0963E-001
   0.00E+000     0.00E+000     1.98E+001    2.0826E-001
   0.00E+000     0.00E+000     1.99E+001    2.0636E-001
   0.00E+000     0.00E+000     2.00E+001    2.0447E-001
   0.00E+000     0.00E+000     2.01E+001    2.0347E-001
   0.00E+000     0.00E+000     2.02E+001    2.0247E-001
   0.00E+000     0.00E+000     2.03E+001    2.0101E-001
   0.00E+000     0.00E+000     2.04E+001    1.9955E-001
   0.00E+000     0.00E+000     2.05E+001    1.9815E-001
   0.00E+000     0.00E+000     2.06E+001    1.9674E-001
   0.00E+000     0.00E+000     2.07E+001    1.9521E-001
   0.00E+000     0.00E+000     2.08E+001    1.9368E-001
   0.00E+000     0.00E+000     2.09E+001    1.9316E-001
   0.00E+000     0.00E+000     2.10E+001    1.9265E-001
   0.00E+000     0.00E+000     2.11E+001    1.9142E-001
   0.00E+000     0.00E+000     2.12E+001    1.9020E-001
   0.00E+000     0.00E+000     2.13E+001    1.8884E-001
   0.00E+000     0.00E+000     2.14E+001    1.8748E-001
   0.00E+000     0.00E+000     2.15E+001    1.8697E-001
   0.00E+000     0.00E+000     2.16E+001    1.8646E-001
   0.00E+000     0.00E+000     2.17E+001    1.8517E-001
   0.00E+000     0.00E+000     2.18E+001    1.8387E-001
   0.00E+000     0.00E+000     2.19E+001    1.8323E-001
   0.00E+000     0.00E+000     2.20E+001    1.8260E-001
   0.00E+000     0.00E+000     2.21E+001    1.8124E-001
   0.00E+000     0.00E+000     2.22E+001    1.7988E-001
   0.00E+000     0.00E+000     2.23E+001    1.7863E-001
   0.00E+000     0.00E+000     2.24E+001    1.7738E-001
   0.00E+000     0.00E+000     2.25E+001    1.7676E-001
   0.00E+000     0.00E+000     2.26E+001    1.7613E-001
