#ComponentName;                                                                      CoM_x;     CoM_y;     CoM_z
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:7|Fiber v2:1;                   271.0;423.6749999999;53.2000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:7|FiberSleeve v2:1;             271.0000000001;423.6749999999;53.2
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:7|Bottom_ver4 v3:1;             271.0;283.6749999999;51.71992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:7|Top_ver4 v2:1;                271.0;283.675;55.8954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:8;                              271.0;242.2658407802;53.4741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:8|D3DF_SC_Cell v6:1;            271.0;266.3249999999;53.2
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:8|Fiber v2:1;                   271.0;126.3249999999;53.2000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:8|FiberSleeve v2:1;             270.9999999999;126.3249999999;53.2
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:8|Bottom_ver4 v3:1;             271.0;266.3249999999;51.71992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:8|Top_ver4 v2:1;                271.0;266.3249999999;55.8954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:9;                              271.0;307.7341592196;66.6741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:9|D3DF_SC_Cell v6:1;            271.0;283.6749999999;66.4
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:9|Fiber v2:1;                   271.0;423.6749999999;66.4000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:9|FiberSleeve v2:1;             271.0000000001;423.6749999999;66.4
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:9|Bottom_ver4 v3:1;             271.0;283.6749999999;64.91992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:9|Top_ver4 v2:1;                271.0;283.675;69.0954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:10;                             271.0;242.2658407802;66.6741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:10|D3DF_SC_Cell v6:1;           271.0;266.3249999999;66.4
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:10|Fiber v2:1;                  271.0;126.3249999999;66.4000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:10|FiberSleeve v2:1;            270.9999999999;126.3249999999;66.4
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:10|Bottom_ver4 v3:1;            271.0;266.3249999999;64.91992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:10|Top_ver4 v2:1;               271.0;266.3249999999;69.0954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:11;                             271.0;307.7341592196;79.8741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:11|D3DF_SC_Cell v6:1;           271.0;283.6749999999;79.6
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:11|Fiber v2:1;                  271.0;423.6749999999;79.6000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:11|FiberSleeve v2:1;            271.0000000001;423.6749999999;79.6
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:11|Bottom_ver4 v3:1;            271.0;283.6749999999;78.11992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:11|Top_ver4 v2:1;               271.0;283.675;82.2954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:12;                             271.0;242.2658407802;79.8741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:12|D3DF_SC_Cell v6:1;           271.0;266.3249999999;79.6
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:12|Fiber v2:1;                  271.0;126.3249999999;79.6000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:12|FiberSleeve v2:1;            270.9999999999;126.3249999999;79.6
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:12|Bottom_ver4 v3:1;            271.0;266.3249999999;78.11992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:12|Top_ver4 v2:1;               271.0;266.3249999999;82.2954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:13;                             271.0;307.7341592196;93.0741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:13|D3DF_SC_Cell v6:1;           271.0;283.6749999999;92.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:13|Fiber v2:1;                  271.0;423.6749999999;92.8000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:13|FiberSleeve v2:1;            271.0000000001;423.6749999999;92.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:13|Bottom_ver4 v3:1;            271.0;283.6749999999;91.31992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:13|Top_ver4 v2:1;               271.0;283.675;95.4954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:14;                             271.0;242.2658407802;93.0741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:14|D3DF_SC_Cell v6:1;           271.0;266.3249999999;92.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:14|Fiber v2:1;                  271.0;126.3249999999;92.8000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:14|FiberSleeve v2:1;            270.9999999999;126.3249999999;92.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:14|Bottom_ver4 v3:1;            271.0;266.3249999999;91.31992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:14|Top_ver4 v2:1;               271.0;266.3249999999;95.4954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:15;                             271.0;307.7341592196;106.2741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:15|D3DF_SC_Cell v6:1;           271.0;283.6749999999;106.0
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:15|Fiber v2:1;                  271.0;423.6749999999;106.0000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:15|FiberSleeve v2:1;            271.0000000001;423.6749999999;106.0
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:15|Bottom_ver4 v3:1;            271.0;283.6749999999;104.51992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:15|Top_ver4 v2:1;               271.0;283.675;108.6954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:16;                             271.0;242.2658407802;106.2741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:16|D3DF_SC_Cell v6:1;           271.0;266.3249999999;106.0
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:16|Fiber v2:1;                  271.0;126.3249999999;106.0000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:16|FiberSleeve v2:1;            270.9999999999;126.3249999999;106.0
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:16|Bottom_ver4 v3:1;            271.0;266.3249999999;104.51992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:16|Top_ver4 v2:1;               271.0;266.3249999999;108.6954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:17;                             271.0;307.7341592196;119.4741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:17|D3DF_SC_Cell v6:1;           271.0;283.6749999999;119.2
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:17|Fiber v2:1;                  271.0;423.6749999999;119.2000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:17|FiberSleeve v2:1;            271.0000000001;423.6749999999;119.2
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:17|Bottom_ver4 v3:1;            271.0;283.6749999999;117.71992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:17|Top_ver4 v2:1;               271.0;283.675;121.8954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:18;                             271.0;242.2658407802;119.4741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:18|D3DF_SC_Cell v6:1;           271.0;266.3249999999;119.2
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:18|Fiber v2:1;                  271.0;126.3249999999;119.2000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:18|FiberSleeve v2:1;            270.9999999999;126.3249999999;119.2
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:18|Bottom_ver4 v3:1;            271.0;266.3249999999;117.71992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:18|Top_ver4 v2:1;               271.0;266.3249999999;121.8954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:19;                             271.0;307.7341592196;132.6741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:19|D3DF_SC_Cell v6:1;           271.0;283.6749999999;132.4
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:19|Fiber v2:1;                  271.0;423.6749999999;132.4000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:19|FiberSleeve v2:1;            271.0000000001;423.6749999999;132.4
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:19|Bottom_ver4 v3:1;            271.0;283.6749999999;130.91992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:19|Top_ver4 v2:1;               271.0;283.675;135.0954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:20;                             271.0;242.2658407802;132.6741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:20|D3DF_SC_Cell v6:1;           271.0;266.3249999999;132.4
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:20|Fiber v2:1;                  271.0;126.3249999999;132.4000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:20|FiberSleeve v2:1;            270.9999999999;126.3249999999;132.4
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:20|Bottom_ver4 v3:1;            271.0;266.3249999999;130.91992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:20|Top_ver4 v2:1;               271.0;266.3249999999;135.0954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:21;                             271.0;307.7341592196;145.8741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:21|D3DF_SC_Cell v6:1;           271.0;283.6749999999;145.6
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:21|Fiber v2:1;                  271.0;423.6749999999;145.6000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:21|FiberSleeve v2:1;            271.0000000001;423.6749999999;145.6
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:21|Bottom_ver4 v3:1;            271.0;283.6749999999;144.11992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:21|Top_ver4 v2:1;               271.0;283.675;148.2954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:22;                             271.0;242.2658407802;145.8741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:22|D3DF_SC_Cell v6:1;           271.0;266.3249999999;145.6
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:22|Fiber v2:1;                  271.0;126.3249999999;145.6000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:22|FiberSleeve v2:1;            270.9999999999;126.3249999999;145.6
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:22|Bottom_ver4 v3:1;            271.0;266.3249999999;144.11992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:22|Top_ver4 v2:1;               271.0;266.3249999999;148.2954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:23;                             271.0;307.7341592196;159.0741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:23|D3DF_SC_Cell v6:1;           271.0;283.6749999999;158.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:23|Fiber v2:1;                  271.0;423.6749999999;158.8000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:23|FiberSleeve v2:1;            271.0000000001;423.6749999999;158.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:23|Bottom_ver4 v3:1;            271.0;283.6749999999;157.31992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:23|Top_ver4 v2:1;               271.0;283.675;161.4954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:24;                             271.0;242.2658407802;159.0741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:24|D3DF_SC_Cell v6:1;           271.0;266.3249999999;158.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:24|Fiber v2:1;                  271.0;126.3249999999;158.8000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:24|FiberSleeve v2:1;            270.9999999999;126.3249999999;158.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:24|Bottom_ver4 v3:1;            271.0;266.3249999999;157.31992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:24|Top_ver4 v2:1;               271.0;266.3249999999;161.4954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:25;                             271.0;307.7341592196;172.2741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:25|D3DF_SC_Cell v6:1;           271.0;283.6749999999;172.0
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:25|Fiber v2:1;                  271.0;423.6749999999;172.0000000001
