#ComponentName;                                                                      CoM_x;     CoM_y;     CoM_z
Phantom v18|Assembly v13:1|ScintillatorBrick v10:4;                             151.0235731815;148.6941443429;59.3
Phantom v18|Assembly v13:1|ScintillatorBrick v10:4|BrickBottom v4:1;            153.0057470895;162.726185897;59.3
Phantom v18|Assembly v13:1|ScintillatorBrick v10:4|D3DF_SC_Cell v6:1;           151.0;162.65;59.3
Phantom v18|Assembly v13:1|ScintillatorBrick v10:4|BrickTop v4:1;               148.6930670789;162.6511759313;59.3
Phantom v18|Assembly v13:1|ScintillatorBrick v10:4|Fiber v4:1;                  150.9999999999;57.65;59.3
Phantom v18|Assembly v13:1|ScintillatorBrick v10:4|FiberSleeve v4:1;            151.0;57.65;59.2999999999
Phantom v18|Assembly v13:1|ScintillatorBrick v10:5;                             151.0235731815;148.6941443429;76.2
Phantom v18|Assembly v13:1|ScintillatorBrick v10:5|BrickBottom v4:1;            153.0057470895;162.726185897;76.2
Phantom v18|Assembly v13:1|ScintillatorBrick v10:5|D3DF_SC_Cell v6:1;           151.0;162.65;76.2
Phantom v18|Assembly v13:1|ScintillatorBrick v10:5|BrickTop v4:1;               148.6930670789;162.6511759313;76.2
Phantom v18|Assembly v13:1|ScintillatorBrick v10:5|Fiber v4:1;                  150.9999999999;57.65;76.2
Phantom v18|Assembly v13:1|ScintillatorBrick v10:5|FiberSleeve v4:1;            151.0;57.65;76.1999999999
Phantom v18|Assembly v13:1|ScintillatorBrick v10:6;                             151.0235731815;148.6941443429;93.1
Phantom v18|Assembly v13:1|ScintillatorBrick v10:6|BrickBottom v4:1;            153.0057470895;162.726185897;93.1
Phantom v18|Assembly v13:1|ScintillatorBrick v10:6|D3DF_SC_Cell v6:1;           151.0;162.65;93.1
Phantom v18|Assembly v13:1|ScintillatorBrick v10:6|BrickTop v4:1;               148.6930670789;162.6511759313;93.1
Phantom v18|Assembly v13:1|ScintillatorBrick v10:6|Fiber v4:1;                  150.9999999999;57.65;93.1
Phantom v18|Assembly v13:1|ScintillatorBrick v10:6|FiberSleeve v4:1;            151.0;57.65;93.0999999999
Phantom v18|Assembly v13:1|ScintillatorBrick v10:7;                             166.4235731815;148.6941443429;59.3
Phantom v18|Assembly v13:1|ScintillatorBrick v10:7|BrickBottom v4:1;            168.4057470895;162.726185897;59.3
Phantom v18|Assembly v13:1|ScintillatorBrick v10:7|D3DF_SC_Cell v6:1;           166.4;162.65;59.3
Phantom v18|Assembly v13:1|ScintillatorBrick v10:7|BrickTop v4:1;               164.0930670789;162.6511759313;59.3
Phantom v18|Assembly v13:1|ScintillatorBrick v10:7|Fiber v4:1;                  166.3999999999;57.65;59.3
Phantom v18|Assembly v13:1|ScintillatorBrick v10:7|FiberSleeve v4:1;            166.4;57.65;59.2999999999
Phantom v18|Assembly v13:1|ScintillatorBrick v10:8;                             166.4235731815;148.6941443429;76.2
Phantom v18|Assembly v13:1|ScintillatorBrick v10:8|BrickBottom v4:1;            168.4057470895;162.726185897;76.2
Phantom v18|Assembly v13:1|ScintillatorBrick v10:8|D3DF_SC_Cell v6:1;           166.4;162.65;76.2
Phantom v18|Assembly v13:1|ScintillatorBrick v10:8|BrickTop v4:1;               164.0930670789;162.6511759313;76.2
Phantom v18|Assembly v13:1|ScintillatorBrick v10:8|Fiber v4:1;                  166.3999999999;57.65;76.2
Phantom v18|Assembly v13:1|ScintillatorBrick v10:8|FiberSleeve v4:1;            166.4;57.65;76.1999999999
Phantom v18|Assembly v13:1|ScintillatorBrick v10:9;                             166.4235731815;148.6941443429;93.1
Phantom v18|Assembly v13:1|ScintillatorBrick v10:9|BrickBottom v4:1;            168.4057470895;162.726185897;93.1
Phantom v18|Assembly v13:1|ScintillatorBrick v10:9|D3DF_SC_Cell v6:1;           166.4;162.65;93.1
Phantom v18|Assembly v13:1|ScintillatorBrick v10:9|BrickTop v4:1;               164.0930670789;162.6511759313;93.1
Phantom v18|Assembly v13:1|ScintillatorBrick v10:9|Fiber v4:1;                  166.3999999999;57.65;93.1
Phantom v18|Assembly v13:1|ScintillatorBrick v10:9|FiberSleeve v4:1;            166.4;57.65;93.0999999999
Phantom v18|Assembly v13:1|ScintillatorBrick v10:10;                            135.6235731815;133.9941443429;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:10|BrickBottom v4:1;           137.6057470895;148.026185897;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:10|D3DF_SC_Cell v6:1;          135.6;147.95;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:10|BrickTop v4:1;              133.2930670789;147.9511759313;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:10|Fiber v4:1;                 135.5999999999;42.95;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:10|FiberSleeve v4:1;           135.6;42.95;67.7499999999
Phantom v18|Assembly v13:1|ScintillatorBrick v10:11;                            135.6235731815;133.9941443429;84.65
Phantom v18|Assembly v13:1|ScintillatorBrick v10:11|BrickBottom v4:1;           137.6057470895;148.026185897;84.65
Phantom v18|Assembly v13:1|ScintillatorBrick v10:11|D3DF_SC_Cell v6:1;          135.6;147.95;84.65
Phantom v18|Assembly v13:1|ScintillatorBrick v10:11|BrickTop v4:1;              133.2930670789;147.9511759313;84.65
Phantom v18|Assembly v13:1|ScintillatorBrick v10:11|Fiber v4:1;                 135.5999999999;42.95;84.65
Phantom v18|Assembly v13:1|ScintillatorBrick v10:11|FiberSleeve v4:1;           135.6;42.95;84.6499999999
Phantom v18|Assembly v13:1|ScintillatorBrick v10:12;                            135.6235731815;133.9941443429;101.55
Phantom v18|Assembly v13:1|ScintillatorBrick v10:12|BrickBottom v4:1;           137.6057470895;148.026185897;101.55
Phantom v18|Assembly v13:1|ScintillatorBrick v10:12|D3DF_SC_Cell v6:1;          135.6;147.95;101.55
Phantom v18|Assembly v13:1|ScintillatorBrick v10:12|BrickTop v4:1;              133.2930670789;147.9511759313;101.55
Phantom v18|Assembly v13:1|ScintillatorBrick v10:12|Fiber v4:1;                 135.5999999999;42.95;101.55
Phantom v18|Assembly v13:1|ScintillatorBrick v10:12|FiberSleeve v4:1;           135.6;42.95;101.5499999999
Phantom v18|Assembly v13:1|ScintillatorBrick v10:13;                            151.0235731815;133.9941443429;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:13|BrickBottom v4:1;           153.0057470895;148.026185897;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:13|D3DF_SC_Cell v6:1;          151.0;147.95;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:13|BrickTop v4:1;              148.6930670789;147.9511759313;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:13|Fiber v4:1;                 150.9999999999;42.95;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:13|FiberSleeve v4:1;           151.0;42.95;67.7499999999
Phantom v18|Assembly v13:1|ScintillatorBrick v10:14;                            151.0235731815;133.9941443429;84.65
Phantom v18|Assembly v13:1|ScintillatorBrick v10:14|BrickBottom v4:1;           153.0057470895;148.026185897;84.65
Phantom v18|Assembly v13:1|ScintillatorBrick v10:14|D3DF_SC_Cell v6:1;          151.0;147.95;84.65
Phantom v18|Assembly v13:1|ScintillatorBrick v10:14|BrickTop v4:1;              148.6930670789;147.9511759313;84.65
Phantom v18|Assembly v13:1|ScintillatorBrick v10:14|Fiber v4:1;                 150.9999999999;42.95;84.65
Phantom v18|Assembly v13:1|ScintillatorBrick v10:14|FiberSleeve v4:1;           151.0;42.95;84.6499999999
Phantom v18|Assembly v13:1|ScintillatorBrick v10:15;                            151.0235731815;133.9941443429;101.55
Phantom v18|Assembly v13:1|ScintillatorBrick v10:15|BrickBottom v4:1;           153.0057470895;148.026185897;101.55
Phantom v18|Assembly v13:1|ScintillatorBrick v10:15|D3DF_SC_Cell v6:1;          151.0;147.95;101.55
Phantom v18|Assembly v13:1|ScintillatorBrick v10:15|BrickTop v4:1;              148.6930670789;147.9511759313;101.55
Phantom v18|Assembly v13:1|ScintillatorBrick v10:15|Fiber v4:1;                 150.9999999999;42.95;101.55
Phantom v18|Assembly v13:1|ScintillatorBrick v10:15|FiberSleeve v4:1;           151.0;42.95;101.5499999999
Phantom v18|Assembly v13:1|ScintillatorBrick v10:16;                            166.4235731815;133.9941443429;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:16|BrickBottom v4:1;           168.4057470895;148.026185897;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:16|D3DF_SC_Cell v6:1;          166.4;147.95;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:16|BrickTop v4:1;              164.0930670789;147.9511759313;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:16|Fiber v4:1;                 166.3999999999;42.95;67.75
Phantom v18|Assembly v13:1|ScintillatorBrick v10:16|FiberSleeve v4:1;           166.4;42.95;67.7499999999
Phantom v18|Assembly v13:1|ScintillatorBrick v10:17;                            166.4235731815;133.9941443429;84.65
Phantom v18|Assembly v13:1|ScintillatorBrick v10:17|BrickBottom v4:1;           168.4057470895;148.026185897;84.65
Phantom v18|Assembly v13:1|ScintillatorBrick v10:17|D3DF_SC_Cell v6:1;          166.4;147.95;84.65
Phantom v18|Assembly v13:1|ScintillatorBrick v10:17|BrickTop v4:1;              164.0930670789;147.9511759313;84.65
Phantom v18|Assembly v13:1|ScintillatorBrick v10:17|Fiber v4:1;                 166.3999999999;42.95;84.65
