#ComponentName;                                                                      CoM_x;     CoM_y;     CoM_z
Phantom v18|Phantom:1|M6_screw v5:4;                                            5.0416878237;159.9999999998;35.0
Phantom v18|Phantom:1|Bar20x20x20 v3:1;                                         89.0;20.0;100.0
Phantom v18|Phantom:1|Bar60x20x20 v3:1;                                         89.0;60.0;100.0
Phantom v18|Phantom:1|Bar160x40x20 v3:1;                                        65.0;90.0;90.0
Phantom v18|Phantom:1|Bar100x20x20 v3:1;                                        65.0;120.0;60.0
Phantom v18|Phantom:1|Bar80x20x20 v3:2;                                         45.0;130.0;60.0
Phantom v18|Phantom:1|Plate2 v3:2;                                              95.0;90.0;112.0
Phantom v18|Phantom:1|Plate2 v3:1;                                              95.0;90.0;114.0
Phantom v18|Phantom:1|Plate5 v3:1;                                              95.0;90.0;117.5
Phantom v18|Phantom:1|Bar160x60x20 v3:1;                                        109.0;90.0;80.0
Phantom v18|Phantom:1|Bar160x20x20 v3:1;                                        89.0;90.0;60.0
Phantom v18|Phantom:1|Bar160x20x10 v3:2;                                        84.0;90.0;80.0
Phantom v18|Phantom:1|Bar80x20x20 v3:1;                                         89.0;130.0;100.0
Phantom v18|Phantom:1|Bar160x20x10 v3:1;                                        94.0;90.0;80.0
Phantom v18|Phantom:1|Bar20x20x20 v3:2;                                         45.0;80.0;60.0
Phantom v18|Phantom:1|Bar40x20x20 v3:1;                                         45.0;90.0;80.0
Phantom v18|Phantom:1|Bar100x20x20 v3:2;                                        25.0;120.0;60.0
Phantom v18|Phantom:1|Bar60x20x20 v3:2;                                         45.0;140.0;80.0
Phantom v18|Phantom:1|Bar160x60x4_PLA v4:1;                                     77.0;90.0;80.0
Phantom v18|Phantom:1|Bar160x20x20_PLA v4:2;                                    25.0;90.0;100.0
Phantom v18|Phantom:1|Bar40x20x20 v3:2;                                         45.0;50.0;80.0
Phantom v18|Phantom:1|Bar20x20x20_PLA v5:1;                                     45.0;20.0;80.0
Phantom v18|Phantom:1|Bar160x20x20_PLA v4:1;                                    45.0;90.0;100.0
Phantom v18|Phantom:1|Bar20x20x10 v3:1;                                         20.0;60.0;60.0
Phantom v18|Phantom:1|Bar20x20x10 v3:2;                                         20.0;40.0;60.0
Phantom v18|Phantom:1|Bar160x20x20_PLA v4:3;                                    25.0;90.0;80.0
Phantom v18|Phantom:1|M3_screw v5:4;                                            177.5000000001;25.0;7.4848307172
Phantom v18|Phantom:1|M3_screw v5:5;                                            177.4999999999;155.0;172.5151692828
Phantom v18|Phantom:1|M3_screw v5:6;                                            177.4999999999;25.0;172.5151692828
Phantom v18|Phantom:1|M3_screw v5:7;                                            12.4999999999;155.0;172.5151692828
Phantom v18|Phantom:1|M3_screw v5:10;                                           12.4999999999;172.5151692828;155.0
Phantom v18|Phantom:1|M3_screw v5:9;                                            177.4999999999;172.5151692828;25.0
Phantom v18|Phantom:1|M3_screw v5:8;                                            12.4999999999;25.0;172.5151692828
Phantom v18|Phantom:1|M3_screw v5:11;                                           12.4999999999;172.5151692828;25.0
Phantom v18|Phantom:1|M3_screw v5:12;                                           177.4999999999;172.5151692828;155.0
Phantom v18|Phantom:1|M6_screw v5:6;                                            184.9583121763;34.9999999998;160.0
Phantom v18|Phantom:1|M6_screw v5:7;                                            184.9583121763;144.9999999998;20.0
Phantom v18|Phantom:1|M6_screw v5:8;                                            184.9583121763;159.9999999998;145.0
Phantom v18|Phantom:1|M3_screw v5:1;                                            12.5000000001;155.0;7.4848307172
Phantom v18|Phantom:1|M3_screw v5:3;                                            177.5000000001;155.0;7.4848307172
Phantom v18|Phantom:1|M3_screw v5:2;                                            12.5000000001;25.0;7.4848307172
Phantom v18|Phantom:1|Bar60x20x0.9_PLA v4:1;                                    25.45;40.0;60.0
Phantom v18|Phantom:1|Bar60x20x0.9_PLA v4:2;                                    26.35;40.0;60.0
Phantom v18|Phantom:1|HipSide v2:1;                                             227.0365129445;89.4169341562;90.0
Phantom v18|Phantom:1|HipSide v2:2;                                             -37.0365129445;89.4169341562;90.0
Phantom v18|Phantom:1|HipBack v2:1;                                             95.0;255.0;90.0
