layer_1,,
5.95,0.0,0
-5.95,0.0,0
5.95,0.0,12
-5.95,0.0,12
5.95,0.0,24
-5.95,0.0,24
5.95,0.0,36
-5.95,0.0,36
5.95,0.0,48
-5.95,0.0,48
5.95,0.0,60
-5.95,0.0,60
5.95,0.0,72
-5.95,0.0,72
5.95,0.0,84
-5.95,0.0,84
5.95,0.0,96
-5.95,0.0,96
5.95,0.0,108
-5.95,0.0,108
5.95,0.0,120
-5.95,0.0,120
5.95,0.0,132
-5.95,0.0,132
5.95,0.0,144
-5.95,0.0,144
5.95,0.0,156
-5.95,0.0,156
5.95,0.0,168
-5.95,0.0,168
5.95,0.0,180
-5.95,0.0,180
5.95,0.0,192
-5.95,0.0,192
5.95,0.0,204
-5.95,0.0,204
5.95,0.0,216
-5.95,0.0,216
5.95,0.0,228
-5.95,0.0,228
5.95,0.0,240
-5.95,0.0,240
5.95,0.0,252
-5.95,0.0,252
5.95,0.0,264
-5.95,0.0,264
5.95,0.0,276
-5.95,0.0,276
5.95,0.0,288
-5.95,0.0,288
5.95,0.0,300
-5.95,0.0,300
5.95,0.0,312
-5.95,0.0,312
5.95,0.0,324
-5.95,0.0,324
5.95,0.0,336
-5.95,0.0,336
5.95,0.0,348
-5.95,0.0,348
5.95,0.0,360
-5.95,0.0,360
5.95,0.0,372
-5.95,0.0,372
