layer_1,,
0.00,-8.00,6.80
0.00,8.00,6.80
0.00,-8.00,20.00
0.00,8.00,20.00
0.00,-8.00,33.20
0.00,8.00,33.20
0.00,-8.00,46.40
0.00,8.00,46.40
0.00,-8.00,59.60
0.00,8.00,59.60
0.00,-8.00,72.80
0.00,8.00,72.80
0.00,-8.00,86.00
0.00,8.00,86.00
0.00,-8.00,99.20
0.00,8.00,99.20
0.00,-8.00,112.40
0.00,8.00,112.40
0.00,-8.00,125.60
0.00,8.00,125.60
0.00,-8.00,138.80
0.00,8.00,138.80
0.00,-8.00,152.00
0.00,8.00,152.00
0.00,-8.00,165.20
0.00,8.00,165.20
0.00,-8.00,178.40
0.00,8.00,178.40
0.00,-8.00,191.60
0.00,8.00,191.60
0.00,-8.00,204.80
0.00,8.00,204.80
0.00,-8.00,218.00
0.00,8.00,218.00
0.00,-8.00,231.20
0.00,8.00,231.20
0.00,-8.00,244.40
0.00,8.00,244.40
0.00,-8.00,257.60
0.00,8.00,257.60
0.00,-8.00,270.80
0.00,8.00,270.80
0.00,-8.00,284.00
0.00,8.00,284.00
0.00,-8.00,297.20
0.00,8.00,297.20
0.00,-8.00,310.40
0.00,8.00,310.40
0.00,-8.00,323.60
0.00,8.00,323.60
0.00,-8.00,336.80
0.00,8.00,336.80
0.00,-8.00,350.00
0.00,8.00,350.00
0.00,-8.00,363.20
0.00,8.00,363.20
0.00,-8.00,376.40
0.00,8.00,376.40
0.00,-8.00,389.60
0.00,8.00,389.60
0.00,-8.00,402.80
0.00,8.00,402.80
0.00,-8.00,416.00
0.00,8.00,416.00
