# Rotation: 0.0
# Particles: 20000000
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-50,53,-43,43
# MLC: Y1[mm],Y2[mm]
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-12.95,0.55
-11.55,6.75
-10.85,9.65
-6.25,14.95
-6.95,17.35
-8.85,21.95
-6.65,24.15
-15.05,24.95
-26.95,25.35
-25.75,26.75
-26.55,26.95
-23.75,26.25
-21.55,21.85
-23.25,16.85
-20.25,8.65
-20.55,-0.15
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
-69.25,-69.25
