# Rotation: 0.0
# Particles: 20000000
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-48,53,-43,43
# MLC: Y1[mm],Y2[mm]
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-8.55,13.35
-13.55,15.85
-16.05,14.65
-18.65,13.75
-20.95,9.05
-21.35,16.55
-23.75,17.45
-25.85,19.75
-25.95,21.75
-25.85,24.25
-25.55,24.05
-24.65,25.95
-21.55,25.15
-17.35,23.95
-12.25,23.25
-3.35,14.75
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
-42.05,-42.05
