# Rotation: 0.0
# Particles: 20000000
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-50,53,-43,43
# MLC: Y1[mm],Y2[mm]
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
34.45,48.25
29.15,55.55
22.65,58.75
17.35,64.15
10.95,66.65
10.55,70.75
8.55,73.05
5.35,74.45
2.85,74.85
2.45,75.75
2.95,75.95
5.35,74.75
8.65,68.75
13.65,62.55
20.25,55.55
27.25,45.55
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
-18.25,-18.25
