# Rotation: 0.0
# Particles: 20000000
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-50,53,-43,43
# MLC: Y1[mm],Y2[mm]
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
0.65,13.25
-5.65,9.45
-8.25,5.75
-10.75,3.55
-13.25,0.35
-15.75,-0.75
-18.25,-0.85
-20.75,-4.95
-20.75,-8.35
-23.25,-8.75
-20.75,-8.05
-20.75,-5.25
-18.25,-1.85
-13.15,2.35
-8.85,7.65
-3.45,-1.25
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
-36.75,-36.75
