# Rotation: 0.0
# Particles: 20000000
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-48,58,-43,43
# MLC: Y1[mm],Y2[mm]
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-0.65,18.15
-5.75,18.05
-8.25,14.95
-10.75,10.05
-13.25,5.85
-13.25,6.75
-13.25,5.25
-15.75,2.75
-15.75,0.45
-18.25,-2.45
-17.85,-0.45
-15.15,2.15
-14.35,5.05
-13.75,9.35
-9.15,19.45
-0.65,23.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
-32.25,-32.25
