# Rotation: 0.0
# Particles: 20000000
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-48,53,-43,43
# MLC: Y1[mm],Y2[mm]
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
23.45,49.35
18.85,53.85
16.65,55.75
15.55,58.15
13.85,61.45
13.45,64.05
10.35,66.55
7.35,71.45
10.15,72.05
12.05,72.55
12.25,74.25
9.35,74.45
9.45,74.25
13.85,71.85
18.75,65.05
36.25,50.25
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
-19.45,-19.45
