# Rotation: 0.0
# Particles: 20000000
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-50,48,-43,43
# MLC: Y1[mm],Y2[mm]
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
25.85,42.05
28.05,47.05
32.85,49.55
36.75,52.05
39.45,52.05
39.85,54.55
38.95,54.55
39.65,57.05
41.85,59.55
44.85,59.55
43.55,56.95
42.15,54.05
39.55,53.75
35.25,49.35
24.75,45.95
18.45,38.05
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
-34.45,-34.45
