# Rotation: 0.0
# Particles: 20000000
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-48,58,-43,43
# MLC: Y1[mm],Y2[mm]
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
29.05,51.15
22.05,54.65
16.65,57.45
13.55,58.45
11.25,59.95
11.45,61.95
9.35,65.55
7.75,67.45
6.15,70.05
5.45,73.75
5.65,78.05
6.05,78.95
8.75,79.75
13.05,79.25
28.05,74.05
39.15,55.05
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
-15.85,-15.85
