# Rotation: 0.0
# Particles: 20000000
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-50,48,-43,43
# MLC: Y1[mm],Y2[mm]
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
24.85,43.65
18.75,50.45
16.65,55.75
15.75,58.75
14.35,60.95
12.75,61.05
9.35,62.15
6.75,63.05
5.65,65.65
1.55,67.75
-1.05,66.25
-1.45,64.15
-1.75,61.25
1.35,56.25
5.65,47.75
20.85,35.45
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
-20.25,-20.25
