# Rotation: 0.0
# Particles: 20000000
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-50,48,-43,43
# MLC: Y1[mm],Y2[mm]
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
24.85,41.65
24.05,46.95
26.75,49.85
32.25,52.35
36.05,52.35
34.65,54.85
32.75,54.85
34.15,57.35
37.05,59.85
41.35,59.85
40.65,56.25
38.85,53.55
36.85,52.65
33.25,48.05
20.85,44.85
18.15,36.95
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
-34.15,-34.15
