# Rotation: 0.0
# Particles: 20000000
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-60,48,-43,43
# MLC: Y1[mm],Y2[mm]
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
2.95,21.85
0.45,15.75
-2.05,14.65
-7.05,15.75
-12.05,7.35
-14.55,6.15
-17.05,4.45
-17.05,-6.15
-19.55,-3.55
-24.55,-7.75
-27.05,-14.65
-27.05,-17.35
-27.05,-15.35
-24.55,-9.95
-19.55,-2.55
-9.45,16.35
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
-40.55,-40.55
