# Rotation: 0.0
# Particles: 20000000
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-48,58,-43,43
# MLC: Y1[mm],Y2[mm]
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
23.05,46.95
16.95,52.05
13.15,55.15
10.15,56.35
8.25,57.15
8.15,58.75
6.85,62.75
4.75,64.45
4.05,67.15
2.95,69.05
3.65,72.85
4.55,74.55
6.55,76.65
9.35,75.65
16.05,70.05
30.75,49.65
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
-16.15,-16.15
