# Rotation: 0.0
# Particles: 20000000
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-48,58,-43,43
# MLC: Y1[mm],Y2[mm]
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
25.15,41.65
30.05,44.15
33.75,46.65
33.15,48.85
31.65,51.25
34.05,53.55
36.95,56.65
37.65,58.45
40.95,61.85
39.25,67.05
41.85,69.95
42.45,70.05
42.25,70.45
41.15,69.15
41.75,64.15
29.65,46.65
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
-30.35,-30.35
