# Rotation: 0.0
# Particles: 20000000
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-50,53,-43,43
# MLC: Y1[mm],Y2[mm]
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-1.85,9.95
-6.85,4.95
-9.35,0.55
-11.85,-1.55
-14.35,-4.95
-16.85,-6.35
-19.35,-7.15
-21.85,-10.95
-21.85,-13.75
-24.35,-14.25
-21.85,-13.65
-21.85,-11.05
-19.35,-7.55
-14.35,-2.15
-11.85,2.55
-6.75,-6.25
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
-37.85,-37.85
