# Rotation: 0.0
# Particles: 20000000
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-50,53,-43,43
# MLC: Y1[mm],Y2[mm]
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
5.25,18.75
-1.25,19.35
-4.35,18.35
-7.05,19.15
-10.45,10.85
-12.25,10.45
-14.45,11.95
-17.25,6.75
-18.15,2.05
-19.75,1.95
-18.15,3.95
-17.15,5.95
-14.45,8.55
-8.95,9.95
-4.35,14.85
0.85,7.75
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
-35.45,-35.45
