# Rotation: 0.0
# Particles: 20000000
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-48,58,-43,43
# MLC: Y1[mm],Y2[mm]
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
30.05,47.95
30.05,50.95
30.95,53.65
29.05,54.45
26.15,56.75
29.15,59.05
31.85,62.25
28.55,64.15
28.05,67.05
13.45,71.65
14.05,75.45
17.45,75.95
30.95,76.55
39.95,75.85
41.65,70.85
36.35,52.55
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
-21.45,-21.45
