# Rotation: 0.0
# Particles: 20000000
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-48,53,-43,43
# MLC: Y1[mm],Y2[mm]
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
15.75,41.45
10.75,45.05
8.35,45.45
5.65,44.45
3.45,41.95
2.85,47.15
0.45,49.25
-1.45,52.45
-1.65,53.95
-1.55,59.15
-1.05,62.85
-0.15,65.05
3.05,64.85
8.05,61.15
12.65,49.55
23.15,39.95
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
-19.65,-19.65
