# Rotation: 0.0
# Particles: 20000000
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-50,53,-43,43
# MLC: Y1[mm],Y2[mm]
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
28.25,40.45
31.65,46.35
34.75,49.15
38.85,54.15
40.15,56.65
41.45,61.65
42.95,63.95
43.45,64.15
44.25,64.15
44.85,66.45
42.75,66.65
39.85,66.05
37.25,62.35
34.45,58.95
28.55,50.85
21.35,41.55
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
-32.35,-32.35
