# Rotation: 0.0
# Particles: 20000000
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-48,58,-43,43
# MLC: Y1[mm],Y2[mm]
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
24.45,41.75
28.45,44.25
32.05,46.75
31.05,47.95
29.55,50.35
32.35,52.65
35.45,55.95
36.05,57.55
38.65,61.15
37.25,66.35
39.95,69.35
40.25,69.45
39.55,69.95
39.25,69.25
40.35,64.25
29.45,46.45
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
-30.25,-30.25
