# Rotation: 90.0
# Particles: 1140
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-45,30,-30,30
# MLC: Y1[mm],Y2[mm]
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-0.1,18.3
-32.55,25.55
-33.59,25.9
-34.38,26.73
-35.09,26.71
-35.07,25.55
-37.05,24.8
-40.75,24.91
-41.52,25.39
-41.85,25.96
-42.21,26.18
-42.52,26.15
-42.55,26.13
-41.75,26.08
-41.32,25.58
-41.64,26.23
-41.98,26.43
-42.43,26.63
-42.82,26.7
-42.77,25.35
-24.2,20.6
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
-8.04,-8.04
