# Rotation: 270.0
# Particles: 1240
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-30,45,-30,30
# MLC: Y1[mm],Y2[mm]
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
-18.3,8.5
-25.35,32.95
-25.88,33.84
-27.72,34.58
-27.42,35.29
-25.68,35.28
-24.91,37.25
-24.81,40.55
-24.95,41.38
-24.85,41.74
-25.27,42.12
-25.6,42.48
-25.47,42.45
-25.43,41.62
-25.59,41.09
-26.11,41.42
-26.35,41.64
-26.45,42.06
-26.62,42.43
-25.17,42.25
-20,16.6
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
7.38,7.38
